Domain	Phylum	Class	Order	Family	Genus
139	Viruses	Unknown	Unknown	Caudovirales	Myoviridae	Cr3virus
140	Bacteria	Proteobacteria	Betaproteobacteria	Unknown	Unknown	Candidatus Nasuia
141	Viruses	Unknown	Unknown	Caudovirales	Myoviridae	Se1virus
142	Viruses	Unknown	Unknown	Herpesvirales	Herpesviridae	Simplexvirus
143	Viruses	Unknown	Unknown	Caudovirales	Myoviridae	Nit1virus
144	Viruses	Unknown	Unknown	Caudovirales	Myoviridae	Vi1virus
145	Viruses	Unknown	Unknown	Caudovirales	Myoviridae	Tsarbombavirus
146	Viruses	Unknown	Unknown	Caudovirales	Myoviridae	S16virus
147	Viruses	Unknown	Unknown	Unknown	Poxviridae	Leporipoxvirus
148	Viruses	Unknown	Unknown	Caudovirales	Myoviridae	Secunda5virus
149	Viruses	Unknown	Unknown	Caudovirales	Myoviridae	Tg1virus
150	Viruses	Unknown	Unknown	Caudovirales	Myoviridae	Rb49virus
151	Viruses	Unknown	Unknown	Herpesvirales	Herpesviridae	Mardivirus
152	Viruses	Unknown	Unknown	Caudovirales	Myoviridae	Cc31virus
153	Viruses	Unknown	Unknown	Caudovirales	Myoviridae	Jd18virus
154	Viruses	Unknown	Unknown	Caudovirales	Myoviridae	Rb69virus
155	Viruses	Unknown	Unknown	Caudovirales	Myoviridae	Js98virus
156	Viruses	Unknown	Unknown	Caudovirales	Myoviridae	Sp18virus
157	Viruses	Unknown	Unknown	Caudovirales	Myoviridae	Moonvirus
158	Viruses	Unknown	Unknown	Herpesvirales	Herpesviridae	Lymphocryptovirus
159	Viruses	Unknown	Unknown	Caudovirales	Myoviridae	Kp15virus
160	Viruses	Unknown	Unknown	Caudovirales	Myoviridae	Cp220virus
161	Viruses	Unknown	Unknown	Unknown	Ascoviridae	Ascovirus
162	Viruses	Unknown	Unknown	Unknown	Phycodnaviridae	Prasinovirus
163	Viruses	Unknown	Unknown	Unknown	Poxviridae	Crocodylidpoxvirus
164	Viruses	Unknown	Unknown	Unknown	Poxviridae	Molluscipoxvirus
165	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Unknown	Candidatus Sulcia
166	Viruses	Unknown	Unknown	Unknown	Iridoviridae	Iridovirus
167	Viruses	Unknown	Unknown	Unknown	Poxviridae	Orthopoxvirus
168	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Candidatus Zinderia
169	Viruses	Unknown	Unknown	Caudovirales	Myoviridae	Elvirus
170	Viruses	Unknown	Unknown	Caudovirales	Siphoviridae	Phicbkvirus
171	Viruses	Unknown	Unknown	Herpesvirales	Herpesviridae	Cytomegalovirus
172	Viruses	Unknown	Unknown	Caudovirales	Myoviridae	Spn3virus
173	Viruses	Unknown	Unknown	Herpesvirales	Alloherpesviridae	Cyprinivirus
174	Viruses	Unknown	Unknown	Caudovirales	Myoviridae	Agrican357virus
175	Viruses	Unknown	Unknown	Caudovirales	Myoviridae	Phikzvirus
176	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Halomonadaceae	Candidatus Portiera
177	Viruses	Unknown	Unknown	Unknown	Poxviridae	Betaentomopoxvirus
178	Viruses	Unknown	Unknown	Unknown	Polydnaviridae	Ichnovirus
179	Viruses	Unknown	Unknown	Unknown	Nimaviridae	Whispovirus
180	Viruses	Unknown	Unknown	Unknown	Phycodnaviridae	Chlorovirus
181	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Candidatus Mikella
182	Viruses	Unknown	Unknown	Unknown	Marseilleviridae	Marseillevirus
183	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Erwiniaceae	Buchnera
184	Bacteria	Tenericutes	Mollicutes	Entomoplasmatales	Spiroplasmataceae	Spiroplasma
185	Bacteria	Proteobacteria	Betaproteobacteria	Unknown	Unknown	Candidatus Profftella
186	Viruses	Unknown	Unknown	Unknown	Phycodnaviridae	Prymnesiovirus
187	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Candidatus Riesia
188	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Candidatus Moranella
189	Bacteria	Tenericutes	Mollicutes	Acholeplasmatales	Acholeplasmataceae	Candidatus Phytoplasma
190	Viruses	Unknown	Unknown	Unknown	Polydnaviridae	Bracovirus
191	Bacteria	Tenericutes	Mollicutes	Mycoplasmatales	Mycoplasmataceae	Mycoplasma
192	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Blattabacteriaceae	Blattabacterium
193	Viruses	Unknown	Unknown	Unknown	Mimiviridae	Cafeteriavirus
194	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Candidatus Hoaglandella
195	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Yersiniaceae	Serratia
196	Bacteria	Proteobacteria	Gammaproteobacteria	Legionellales	Coxiellaceae	Coxiella
197	Bacteria	Tenericutes	Mollicutes	Mycoplasmatales	Mycoplasmataceae	Candidatus Hepatoplasma
198	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Candidatus Tachikawaea
199	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella
200	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Salinicoccus
201	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Erwiniaceae	Wigglesworthia
202	Bacteria	Tenericutes	Mollicutes	Mycoplasmatales	Mycoplasmataceae	Ureaplasma
203	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Candidatus Blochmannia
204	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Candidatus Ishikawaella
205	Bacteria	Tenericutes	Mollicutes	Entomoplasmatales	Entomoplasmataceae	Mesoplasma
206	Bacteria	Proteobacteria	Betaproteobacteria	Unknown	Unknown	Kinetoplastibacterium
207	Bacteria	Tenericutes	Mollicutes	Entomoplasmatales	Entomoplasmataceae	Entomoplasma
208	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Candidatus Doolittlea
209	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Morganellaceae	Arsenophonus
210	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Anaplasmataceae	Neorickettsia
211	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Amoebophilaceae	Candidatus Cardinium
212	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Borreliaceae	Borreliella
213	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Borreliaceae	Borrelia
214	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Unknown	Candidatus Azobacteroides
215	Bacteria	Verrucomicrobia	Spartobacteria	Unknown	Unknown	Candidatus Xiphinematobacter
216	Bacteria	Tenericutes	Mollicutes	Acholeplasmatales	Acholeplasmataceae	Acholeplasma
217	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Unknown	Tropheryma
218	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Candidatus Gullanella
219	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Anaplasmataceae	Wolbachia
220	Bacteria	Candidatus Saccharibacteria	Unknown	Unknown	Unknown	Candidatus Saccharimonas
221	Bacteria	Chlamydiae	Chlamydiia	Chlamydiales	Chlamydiaceae	Chlamydia
222	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Erwiniaceae	Erwinia
223	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Rickettsiaceae	Orientia
224	Bacteria	Bacteroidetes	Chitinophagia	Chitinophagales	Chitinophagaceae	Hydrotalea
225	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Rickettsiaceae	Rickettsia
226	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Unknown	Candidatus Hodgkinia
227	Bacteria	Proteobacteria	Deltaproteobacteria	Unknown	Unknown	Candidatus Babela
228	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Spirochaetaceae	Treponema
